TEAM,CONF,G,ADJOE,ADJDE,TEMPO,EFG,EFGD,TOR,TORD,ORB,DRB,FTR,FTRD,WAB
Georgia Southern,SB,37,110.1,115.8,70.1,51.4,52.3,14.6,18.7,28.8,35.2,39.6,41.4,-11.9
Coastal Carolina,SB,32,101.9,107.4,67.1,47.9,46.8,15.2,12.3,26.9,27.6,32.3,34.9,-8.8
Samford,SC,32,107.8,113.8,67.3,53.1,51.9,13.4,13.0,25.3,25.7,41.9,32.9,-9.7
Denver,Sum,32,115.0,121.5,68.0,53.6,56.0,14.3,13.0,29.8,32.8,34.1,36.8,-10.9
Lipscomb,ASun,32,105.0,111.0,69.5,54.1,53.2,16.0,17.7,25.8,30.2,26.0,29.0,-7.7
Old Dominion,SB,33,106.3,112.4,68.9,50.7,50.8,15.4,14.5,26.0,30.3,34.7,42.0,-15.3
LIU,NEC,34,103.7,109.8,67.8,53.3,49.8,19.0,18.9,34.3,32.6,34.7,34.1,-5.7
Florida Gulf Coast,ASun,34,105.2,111.5,67.6,52.0,53.4,15.9,16.5,31.1,28.2,29.1,38.3,-13.3
Eastern Michigan,MAC,31,101.6,107.8,66.5,49.6,50.3,17.4,15.6,27.8,29.1,29.3,35.5,-14.6
Omaha,Sum,33,106.1,112.8,67.1,52.2,52.7,16.1,14.1,25.5,28.7,34.5,33.6,-12.3
Saint Peter's,MAAC,29,103.2,109.8,65.5,46.4,48.1,17.7,20.0,37.0,34.7,35.5,46.4,-8.4
Radford,BSth,32,106.3,113.2,70.7,51.3,53.0,17.1,18.5,29.8,32.2,42.4,40.0,-11.8
Long Beach St.,BW,32,104.2,110.9,68.4,50.6,53.7,18.0,17.5,26.2,27.8,30.7,42.3,-15.7
Iona,MAAC,32,104.1,110.9,69.1,51.9,48.9,17.2,16.6,27.8,31.2,29.3,28.8,-10.4
Central Michigan,MAC,31,106.5,113.6,67.1,51.8,54.0,18.1,17.0,29.2,34.3,31.4,39.0,-15.4
American,Pat,32,105.2,112.3,66.8,51.5,54.4,15.6,19.2,26.9,29.4,28.7,42.1,-11.6
Southern,SWAC,34,106.3,113.4,69.8,49.1,53.2,16.5,18.6,31.4,31.3,39.8,42.9,-10.9
Boston University,Pat,34,111.7,119.3,63.1,57.5,53.6,17.8,13.0,28.0,28.0,31.4,30.5,-13.7
Nicholls St.,Slnd,33,104.9,112.0,68.2,50.6,54.4,17.4,20.5,28.1,33.7,34.5,37.9,-12.7
Colgate,Pat,33,107.3,114.8,66.9,53.3,52.2,14.6,15.3,26.6,29.3,29.7,33.8,-10.0
Charleston Southern,BSth,32,104.9,112.2,71.6,54.1,46.9,18.5,12.8,29.4,30.3,30.5,43.3,-13.3
UC Riverside,BW,32,103.6,110.8,68.5,48.9,52.7,19.0,15.5,27.8,30.0,35.0,40.9,-15.3
Southeast Missouri St.,OVC,33,101.1,108.2,68.9,49.8,48.8,16.9,18.1,29.6,28.2,38.8,48.0,-9.3
Lamar,Slnd,31,102.7,110.0,65.4,47.8,50.9,18.1,17.3,35.7,29.4,27.9,44.4,-14.0
Pepperdine,WCC,32,105.8,113.3,68.4,47.6,54.2,18.3,16.5,29.1,34.0,33.8,28.5,-15.0
Princeton,Ivy,29,104.9,112.4,63.9,49.6,52.0,17.1,14.3,27.2,28.5,34.6,34.0,-14.9
UNC Asheville,BSth,32,103.8,111.3,64.8,51.0,51.3,17.4,15.5,29.8,31.3,40.0,38.7,-12.6
Fairfield,MAAC,34,105.3,113.1,67.1,48.8,51.0,15.3,16.8,35.8,29.1,27.7,30.4,-9.9
East Carolina,Amer,31,103.7,111.3,68.6,46.4,52.3,17.1,16.2,33.4,32.5,39.2,32.2,-13.7
Vermont,AE,34,104.8,112.5,64.7,53.1,50.4,14.3,14.8,26.2,23.0,31.1,36.4,-9.4
Abilene Christian,WAC,33,99.8,107.1,67.4,47.5,56.5,20.8,23.4,31.0,29.1,41.7,53.5,-12.7
SIU Edwardsville,OVC,32,98.9,106.4,64.4,49.5,45.6,17.9,17.0,30.1,31.6,30.6,34.3,-10.6
Idaho St.,BSky,33,108.7,117.0,65.2,51.8,54.5,17.0,14.7,32.8,27.9,37.9,38.0,-14.1
Elon,CAA,32,108.1,116.4,66.8,52.2,54.0,15.9,16.4,32.2,33.5,33.5,34.6,-13.2
Tennessee Martin,OVC,33,98.0,105.5,64.3,48.7,46.1,21.4,20.0,37.0,32.0,37.4,35.8,-7.9
Southern Utah,WAC,32,106.2,114.6,70.4,50.7,53.2,20.3,14.8,28.8,33.6,33.1,29.8,-15.6
Purdue Fort Wayne,Horz,32,105.0,113.4,67.7,52.6,56.1,14.5,19.1,22.9,34.5,30.6,28.5,-9.2
Sacramento St.,BSky,31,105.4,114.1,71.7,47.0,55.0,14.1,17.1,25.2,33.4,41.2,36.2,-14.7
Wofford,SC,32,108.1,117.0,67.8,52.5,53.8,13.4,14.9,29.8,29.0,36.2,36.8,-9.4
North Dakota,Sum,35,106.6,115.5,67.3,49.4,56.5,14.1,19.4,27.4,32.4,37.8,43.8,-11.3
UTEP,CUSA,31,101.2,109.6,65.2,48.3,51.5,17.4,18.0,26.2,32.8,33.4,42.0,-14.8
Longwood,BSth,32,103.0,111.8,68.5,49.7,53.8,19.1,19.8,34.6,27.7,41.3,42.1,-12.7
Lindenwood,OVC,33,100.2,108.7,72.4,48.0,49.1,18.7,18.4,33.2,31.8,38.6,37.4,-11.2
Loyola Chicago,A10,33,103.4,112.2,65.8,49.8,52.0,19.8,12.9,30.5,29.7,34.8,33.6,-15.8
Milwaukee,Horz,32,106.1,115.2,67.6,49.9,55.5,15.2,15.8,33.0,29.2,32.1,35.9,-13.5
Incarnate Word,Slnd,31,108.7,118.1,65.5,50.2,54.5,17.2,15.7,32.1,32.0,34.0,41.6,-13.7
Dartmouth,Ivy,27,104.5,113.6,69.5,51.8,52.7,17.6,13.8,23.7,29.7,38.0,30.7,-11.6
Delaware,CUSA,31,105.7,115.1,63.1,53.3,51.5,18.2,14.0,20.8,31.1,30.6,30.2,-16.0
Mount St. Mary's,MAAC,32,99.2,108.2,67.8,50.6,47.2,22.4,15.3,32.3,29.1,33.3,37.3,-12.4
South Dakota,Sum,32,104.3,113.9,70.0,49.9,54.5,16.6,15.9,28.7,30.3,45.2,31.0,-11.5
Prairie View A&M,SWAC,36,101.3,110.6,70.7,47.9,50.1,16.0,19.3,27.0,34.8,42.1,43.2,-12.5
Ball St.,MAC,31,99.0,108.2,63.7,47.0,52.7,16.2,18.7,27.1,31.0,31.6,32.1,-14.6
Western Michigan,MAC,31,107.1,117.4,67.8,49.9,54.4,16.9,13.4,30.5,29.1,32.8,37.5,-15.3
Presbyterian,BSth,33,102.4,112.5,64.2,51.0,51.2,19.3,15.7,33.1,30.6,39.3,37.1,-13.7
Mercyhurst,NEC,34,101.3,111.4,64.6,49.5,50.1,14.3,18.7,26.4,29.9,25.6,42.6,-13.2
Louisiana,SB,33,101.6,111.8,63.3,47.1,52.6,16.8,18.3,28.3,32.3,28.7,45.8,-16.9
Jacksonville,ASun,32,103.5,113.9,63.5,50.0,54.8,17.2,15.0,31.7,29.1,32.8,42.7,-14.8
UNC Greensboro,SC,34,107.9,119.0,67.7,52.0,56.2,15.0,13.7,28.1,29.0,42.0,30.6,-15.1
Arkansas Pine Bluff,SWAC,32,105.0,115.8,69.3,50.0,52.6,18.7,16.5,27.9,34.2,38.4,43.6,-12.9
Brown,Ivy,27,97.8,108.0,66.7,48.6,51.3,19.5,18.7,29.0,30.0,28.1,37.6,-14.5
Lehigh,Pat,35,101.9,112.6,66.7,52.9,50.6,17.7,16.2,23.2,31.4,31.8,32.5,-12.0
Florida A&M,SWAC,31,98.9,109.3,68.0,49.2,51.2,21.5,19.1,30.9,30.9,37.4,39.6,-11.8
Morehead St.,OVC,33,106.4,117.6,65.3,49.2,50.2,18.0,15.4,35.8,35.8,37.7,35.6,-9.0
IU Indy,Horz,32,106.1,117.5,73.7,52.2,58.2,15.9,19.2,28.7,35.6,21.7,46.6,-20.0
East Texas A&M,Slnd,32,100.7,111.5,68.4,49.2,52.9,19.2,17.0,25.7,32.8,32.0,34.5,-14.9
West Georgia,ASun,32,102.2,113.2,69.1,49.6,53.4,15.9,14.7,31.5,29.0,29.2,36.9,-12.4
Northeastern,CAA,31,106.9,118.4,69.7,52.4,56.4,16.4,16.8,27.3,30.2,29.4,41.9,-19.1
Southeastern Louisiana,Slnd,31,99.4,110.2,65.4,46.7,52.4,18.4,19.1,28.6,31.4,40.3,41.2,-16.4
Sacred Heart,MAAC,33,106.8,118.5,68.4,52.0,53.5,17.7,14.5,28.6,30.9,31.0,27.0,-15.2
Bellarmine,ASun,32,115.0,127.7,64.6,59.4,59.4,15.5,15.0,22.4,34.2,35.0,34.3,-14.4
Grambling St.,SWAC,33,96.4,107.2,67.5,48.8,50.0,21.2,20.8,30.3,32.5,41.1,40.0,-14.8
Eastern Kentucky,ASun,32,108.6,120.9,67.3,52.1,56.1,16.9,14.8,32.5,31.7,30.7,38.5,-16.5
Oral Roberts,Sum,33,102.3,114.1,67.7,49.7,53.6,18.5,14.7,28.4,31.8,34.8,39.1,-17.6
USC Upstate,BSth,32,99.2,110.8,67.6,48.3,51.0,18.2,16.4,29.2,31.4,32.8,36.0,-14.2
Evansville,MVC,32,102.4,114.4,67.0,49.3,55.1,19.1,15.4,22.0,30.2,29.8,31.4,-17.6
Texas Southern,SWAC,30,102.1,114.2,68.7,49.7,52.5,18.5,16.5,28.8,31.2,38.2,44.0,-12.9
Hampton,CAA,32,100.7,112.7,65.4,45.7,52.0,17.0,17.2,32.9,30.0,39.2,46.5,-14.6
Alabama A&M,SWAC,33,104.4,116.8,65.2,49.2,52.1,16.5,16.6,27.5,29.5,45.4,38.6,-11.6
Alabama St.,SWAC,32,99.8,111.6,69.3,47.1,52.2,18.3,18.7,31.9,31.5,34.9,42.3,-16.5
Northwestern St.,Slnd,32,100.6,112.6,64.8,48.6,53.0,18.3,16.9,26.1,32.6,40.1,36.3,-16.2
Houston Christian,Slnd,32,101.7,113.8,64.1,49.7,54.2,18.9,17.6,29.9,32.5,36.0,30.7,-14.9
Stetson,ASun,33,105.2,117.8,66.8,53.1,55.2,18.1,15.1,26.6,31.8,32.4,30.4,-15.8
North Carolina A&T,CAA,30,104.4,117.1,68.5,50.7,52.9,18.6,14.1,31.7,28.6,42.3,37.5,-15.1
Chattanooga,SC,32,105.4,118.4,67.1,54.2,51.7,14.4,13.2,21.8,31.7,29.7,42.6,-15.3
Central Connecticut,NEC,30,104.4,117.4,64.8,51.6,50.2,16.2,14.0,27.5,30.4,31.2,26.9,-9.4
Le Moyne,NEC,32,100.8,113.6,69.5,52.7,49.3,19.1,15.0,25.2,29.1,39.5,32.7,-13.7
Wagner,NEC,31,102.0,115.0,65.5,49.6,50.4,18.5,14.9,32.8,29.6,32.3,40.8,-13.4
Georgia St.,SB,32,99.3,112.0,67.9,44.2,50.6,15.9,16.4,27.7,33.6,37.2,34.9,-17.6
Cleveland St.,Horz,33,109.6,123.7,69.6,54.2,57.2,17.8,15.1,27.0,36.6,37.9,35.5,-16.9
Northern Arizona,BSky,32,105.5,119.3,63.8,51.7,56.9,16.0,16.6,23.3,33.4,31.8,32.7,-16.7
Albany,AE,32,103.4,118.0,65.3,51.3,53.2,18.5,15.8,32.7,32.4,24.9,35.7,-17.3
UMass Lowell,AE,33,102.6,117.1,69.3,49.8,53.5,18.0,14.2,32.7,29.4,34.9,28.3,-13.7
Lafayette,Pat,32,100.4,115.5,66.8,49.3,53.6,15.3,15.1,25.8,28.6,32.4,30.6,-17.1
Tennessee Tech,OVC,31,101.8,117.2,67.0,48.9,51.5,19.1,15.1,31.3,30.7,35.5,31.3,-14.6
NJIT,AE,33,97.2,112.0,68.0,46.7,50.0,17.1,16.2,26.2,32.1,33.2,37.9,-12.4
Loyola MD,Pat,32,103.5,119.6,68.2,50.4,54.7,15.5,15.3,27.6,29.0,29.9,32.7,-16.8
Little Rock,OVC,32,101.0,116.8,66.5,49.4,51.8,18.4,18.5,31.5,36.6,27.7,33.1,-16.3
Bucknell,Pat,33,98.7,114.1,67.1,48.5,54.7,19.0,17.9,27.0,31.3,29.8,35.3,-18.2
Cal St. Bakersfield,BW,32,101.6,117.4,70.0,45.7,54.0,18.9,17.9,30.4,35.6,42.2,42.6,-18.1
North Florida,ASun,32,106.9,123.7,70.5,52.9,56.3,17.9,12.7,25.2,37.6,28.8,31.4,-18.9
New Haven,NEC,31,96.0,111.5,63.4,48.7,51.8,17.8,17.1,21.5,26.8,31.7,27.7,-13.1
Eastern Illinois,OVC,33,96.7,112.7,65.6,45.7,50.8,18.6,19.3,28.2,35.2,33.5,35.3,-15.2
Norfolk St.,MEAC,32,101.3,118.2,68.1,49.3,51.7,18.7,18.8,32.5,32.3,43.5,45.3,-13.4
Jackson St.,SWAC,33,101.0,118.2,69.6,45.7,53.0,19.4,16.5,29.7,37.2,37.4,41.9,-13.9
Holy Cross,Pat,33,100.6,118.0,65.5,49.8,54.8,15.3,14.1,21.9,27.0,31.5,27.6,-18.2
UTSA,Amer,30,100.6,118.1,68.6,44.8,53.3,17.5,14.7,30.2,38.7,29.5,33.3,-18.6
Manhattan,MAAC,32,103.6,121.6,68.0,47.9,53.9,15.6,16.7,28.6,37.0,34.0,25.7,-16.3
Niagara,MAAC,30,99.9,117.3,62.2,50.5,52.8,18.9,16.6,24.8,32.9,26.6,33.8,-18.2
Stonehill,NEC,33,92.0,108.4,66.4,46.9,47.8,19.4,13.4,27.5,27.1,27.3,30.3,-17.5
North Alabama,ASun,30,99.9,117.9,64.8,48.0,55.2,17.5,14.5,31.2,32.2,37.6,30.3,-17.0
Fairleigh Dickinson,NEC,32,100.6,119.1,64.1,47.1,55.2,18.1,16.1,32.0,27.3,32.8,36.3,-16.7
Chicago St.,NEC,32,100.0,118.6,65.6,45.3,56.7,15.6,20.1,28.3,35.0,30.0,38.0,-19.2
Air Force,MWC,32,96.1,114.0,66.3,48.9,56.4,21.9,15.1,21.4,31.3,35.1,36.6,-20.1
Alcorn St.,SWAC,32,97.3,115.6,68.0,47.7,55.0,19.6,18.1,26.9,35.5,31.8,39.4,-16.3
Army,Pat,32,99.6,118.5,67.2,49.3,55.1,17.2,15.4,29.6,27.7,26.8,39.6,-17.4
Northern Illinois,MAC,30,95.7,113.9,67.5,47.6,55.6,21.8,16.3,30.3,30.0,38.3,38.3,-15.4
Canisius,MAAC,31,95.6,113.9,64.1,46.3,52.2,19.6,16.0,29.3,29.8,31.4,35.2,-17.5
Southern Indiana,OVC,30,96.0,114.6,67.7,43.7,49.4,17.2,16.4,31.4,33.8,37.2,36.2,-20.3
The Citadel,SC,33,100.0,120.6,64.2,49.5,57.5,16.3,14.7,27.9,31.5,30.0,33.3,-18.4
Louisiana Monroe,SB,32,101.2,122.3,70.2,47.8,57.1,16.9,15.7,25.1,35.4,38.8,27.7,-23.1
Maine,AE,32,92.2,111.9,64.8,49.6,50.6,19.1,19.4,19.7,34.3,38.4,33.9,-20.5
Saint Francis,NEC,31,100.6,122.5,70.0,48.9,58.9,18.4,18.4,27.5,33.1,30.8,38.3,-19.4
New Hampshire,AE,30,95.4,116.2,67.4,46.7,53.4,16.5,15.8,25.7,26.9,28.5,35.8,-16.4
North Carolina Central,MEAC,32,100.2,122.8,65.8,47.5,54.5,18.1,19.9,30.0,39.4,39.3,36.9,-13.0
Morgan St.,MEAC,30,98.9,121.5,70.5,45.8,51.7,17.8,16.5,30.7,35.2,42.7,50.9,-13.0
South Carolina St.,MEAC,32,95.4,117.3,68.8,46.8,53.9,20.8,18.8,31.4,37.6,41.1,51.9,-17.4
Bryant,AE,31,96.6,120.2,64.2,46.9,52.7,20.2,14.6,27.7,31.0,29.4,33.5,-17.9
Maryland Eastern Shore,MEAC,32,93.2,116.4,63.3,47.8,50.7,23.8,17.9,32.4,33.6,29.5,43.0,-17.6
Binghamton,AE,31,98.4,123.1,65.5,50.0,54.3,18.8,13.3,20.9,29.4,41.5,34.6,-20.4
Rider,MAAC,29,96.3,120.5,65.7,42.8,55.2,16.9,15.3,32.6,32.8,30.1,32.5,-19.6
VMI,SC,32,98.8,124.5,66.8,47.6,57.0,15.3,15.7,25.6,37.2,30.6,34.6,-22.3
UMKC,Sum,31,93.1,117.6,69.7,45.7,56.3,18.2,16.4,26.4,35.9,29.2,31.4,-21.5
Gardner Webb,BSth,33,95.5,122.1,69.6,47.8,56.9,19.8,15.3,23.2,36.6,30.3,35.2,-23.1
Delaware St.,MEAC,31,88.4,114.4,65.5,42.9,52.9,19.9,19.5,27.7,32.0,34.1,40.5,-19.7
Coppin St.,MEAC,31,91.7,119.2,68.6,45.9,55.4,22.3,17.5,30.4,34.8,38.5,42.9,-19.1
Mississippi Valley St.,SWAC,33,91.2,120.9,67.2,45.2,55.5,21.9,17.1,26.4,35.5,33.9,50.8,-24.8
Western Illinois,OVC,31,92.8,123.4,66.5,44.5,54.2,17.5,14.9,27.0,34.8,37.7,34.8,-23.0
